GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
w12_d4_Fantasy_Adventure,player.healer,Cleric,0,5,0,0,0,2,0,1,0,1
w12_d4_Fantasy_Adventure,player.healer,Healer,27,14,4,0,10,5,5,3,3,3
w12_d4_Fantasy_Adventure,rooms,Room,15,0,0,0,6,0,3,0,3,0
w12_d4_Fantasy_Adventure,player.magicUser,MagicUser,26,34,6,2,8,12,6,4,2,4
w12_d4_Fantasy_Adventure,player.magicUser,Warlock,0,5,0,0,0,2,0,1,0,1
w12_d4_Fantasy_Adventure,player.magicUser,Wizard,0,5,0,0,0,2,0,1,0,1
w12_d4_Fantasy_Adventure,player.fighter,Knight,0,5,0,0,0,2,0,1,0,1
w12_d4_Fantasy_Adventure,player.fighter,Dwarf,0,5,0,0,0,2,0,1,0,1
w12_d4_Fantasy_Adventure,player.fighter,Barbarian,0,5,0,0,0,2,0,1,0,1
w12_d4_Fantasy_Adventure,player.fighter,Fighter,4,31,2,2,1,10,2,4,0,4
w12_d4_Fantasy_Adventure,enemies,Enemy,3,38,1,1,1,13,1,6,0,6
w12_d4_Fantasy_Adventure,items,Spell,0,12,0,0,0,4,0,2,0,2
w12_d4_Fantasy_Adventure,items,HealingTool,0,15,0,0,0,5,0,2,0,2
w12_d4_Fantasy_Adventure,items,Weapon,0,12,0,0,0,4,0,2,0,2
w12_d4_Fantasy_Adventure,items,Treasure,0,6,0,0,0,2,0,1,0,1
w12_d4_Fantasy_Adventure,items,Item,3,18,0,0,1,7,1,3,1,3
w12_d4_Fantasy_Adventure,items,Creature,0,12,0,0,0,4,0,2,0,2
w12_d4_Fantasy_Adventure,player,Player,18,86,0,4,6,25,4,11,4,9
